ABSC_ID,Domanda,Risposta,Opzione 1,Opzione 2,Opzione 3,Opzione 4,Assessment,Controllo,Minimum Score,Remediation
1.1.1-1.1.4,Is there an inventory of active resources on the network?,Yes with automatic update,Yes,No,,,"Network device inventory management with automatic discovery mechanisms and traffic analysis",Verify that there is an inventory document or a tool that maintains the list of active resources on the network with a registered IP address.,0.75,Implement automated network discovery tool with real-time updates and comprehensive device tracking
1.1.3-1.1.4,Is there a system for detecting new devices with alarms generated in case of anomalies?,Yes complete (discovery + traffic analysis + alarms),Yes with traffic analysis,Yes with discovery,Yes with alarms,No,Device discovery and traffic analysis with alarm generation,Verify that there are logs or notifications generated by the system when new devices are discovered and analyze the configuration of the discovery tools.,0.75,Deploy comprehensive device detection system with automated discovery traffic analysis and immediate anomaly alerts
1.2.1-1.2.2,Are DHCP server logs monitored and used to improve the inventory?,Yes,No,,,,Monitoring and analysis of DHCP logs to improve inventory,Verify that the DHCP server is configured for logging and that there are procedures/scripts that analyze these logs to update the inventory.,0.5,Configure detailed DHCP logging and develop scripts to analyze logs for inventory updates
1.3.1-1.3.2,Is the inventory automatically updated when new authorized devices connect?,Yes with automatic tool,Yes with manual procedure,No,,,Automatic inventory update when new devices are connected,Test the update by connecting a new authorized device and verify that it is automatically registered in the inventory.,0.75,Implement network access control (NAC) with automatic inventory update mechanisms
1.4.1-1.4.3,Does the inventory include complete information (IP address machine name function owner office device type),Yes complete,Partial (> 50% of information),Partial (< 50% of information),No,,Collect detailed information on all systems connected to the network,Review the inventory contents to verify that all required information fields are present.,0.75,Develop comprehensive device information collection process with mandatory critical fields
1.4.3,Are mobile devices registered even when not connected to the network?,Yes,No,,,,Identification of mobile devices even if not connected,Verify that there is a register of mobile devices that also includes those not currently connected to the network.,0.5,Create mobile device management (MDM) system to track both connected and disconnected devices
1.5.1,Is network-level authentication implemented via 802.1x?,Yes integrated with inventory,Yes,No,,,Integrated 802.1x network authentication with inventory,Verify that the switches/access points are configured for 802.1x support and test the connection of a device without authentication.,0.75,Configure 802.1x network authentication with integration to device inventory
1.6.1,Are client-side certificates used to validate systems before connection?,Yes,No,,,,Use of client-side certificates for authentication,Verify the configuration of the authentication system and test the connection with and without a valid client certificate.,0.75,Develop public key infrastructure (PKI) with client-side certificate authentication
2.1.1-2.3.3,Is there a list of authorized software for each system type?,Yes complete and up to date,Yes complete but not up to date ,Yes partial,No,,Definition and management of authorized software,Verify that there is a formal document or database that lists authorized software for each type of system.,0.75,Create detailed software whitelist with regular review and automated validation processes
2.2.1-2.2.3,Is a whitelist of authorized applications implemented?,Yes with execution block,Yes without execution block,No,,,Implementation of whitelists to block unauthorized software,Test the execution of unauthorized software to verify whether it is effectively blocked.,0.75,Deploy application whitelisting with execution blocking and comprehensive logging
2.2.2,For systems with specific functions is a targeted whitelist or isolated systems used?,Yes with targeted whitelist,Yes with isolation,Yes with both,No,,Protection of systems with specific functions,Verify the configuration of whitelists for specialized systems or the isolation of these systems.,0.75,Implement targeted whitelists and network isolation for specialized systems
2.2.3,Are file integrity verification tools used for whitelisted applications?,Yes with automatic checks,Yes with manual checks,No,,,File integrity verification for whitelisted applications,Verify the existence and configuration of file integrity monitoring tools and test the modification of a whitelisted application.,0.75,Deploy automated file integrity monitoring with baseline measurements and change alerts
2.3.1-2.3.3,Are scans performed regularly for unauthorized software?,Yes automated,Yes manual,No,,,Software scanning and inventory,Verify the logs of periodic scans and the scheduling of software scanning tools.,0.75,Implement automated software discovery with regular scanning and centralized reporting
2.3.2-2.3.3,Is an up-to-date inventory of software maintained across the organization?,Yes automatic with versions and patches,Yes applications only ,No,,,Maintain complete software inventory,Examine the software inventory to verify the completeness of the information (patch level versions),0.75,Create comprehensive automated software inventory tracking versions and patches
2.4.1,Are isolated (air-gapped/virtualized) systems used for critical applications?,Yes air-gapped systems,Yes virtualized systems,No,,,Isolation for strategic or critical applications,Verify the existence of isolated systems (physically or virtually) for critical applications.,0.75,Develop air-gapped or virtualized environments with strict network segregation for critical applications
3.1.1-3.1.3,Are standard secure configurations and hardening procedures used?,Yes complete with periodic verification ,Yes complete,Yes partial,No,,Standard secure configurations and hardening,Verify the documentation of standard configurations and compare with the configurations actually implemented on the systems.,0.75,Develop comprehensive system hardening guidelines with regular verification and update processes
3.1.3-3.3.2,Are installation images validated updated and stored securely?,Yes offline and protected ,Yes only validated,Yes available but not validated,No,,"Secure management of installation images",Verify the existence of image validation and update procedures and check the protections applied to the repositories.,0.75,Implement secure image management with offline storage validation and strict access controls
3.2.1-3.2.3,Is there a standard configuration for workstations and servers with recovery and change management procedures?,Yes complete,Yes without recovery procedures,Yes without change management,No,,Standard configuration management and recovery procedures,Verify the documentation of standard configurations and recovery procedures testing the recovery on a test system.,0.75,Establish comprehensive configuration management with detailed recovery and change control processes
3.4.1,Are remote administration operations performed via secure connections?,Yes with secure protocols and strong authentication,Yes only secure protocols,No,,,Remote administration via secure connections,Verify the protocols used for remote administration (SSH HTTPS RDP + TSL) and test the possibility of non-encrypted connections,0.75,Implement multi-factor authentication and enforce secure protocol usage for remote administration
